{{c1::El aprendizaje supervisado}} aprende la relación entre {{c2::features}} y {{c3::labels}}.;Proceso central del supervised learning.
En regresión, la variable respuesta es {{c1::cuantitativa continua}}.;Ejemplo: precio, temperatura.
En clasificación, la salida es {{c1::categórica}} y tiene al menos {{c2::dos clases}}.;Puede ser binaria o multiclase.
El conjunto de {{c1::entrenamiento}} ajusta el modelo y el conjunto de {{c2::test}} evalúa generalización.;Separación fundamental.
El método {{c1::hold-out}} divide los datos en {{c2::train}} y {{c3::test}}.;Validación simple.
En {{c1::k-fold cross-validation}}, los datos se dividen en {{c2::k particiones iguales}}.;Cada fold actúa una vez como validación.
El {{c1::overfitting}} ocurre cuando el modelo memoriza el {{c2::conjunto de entrenamiento}}.;Pierde generalización.
Generalizar significa rendir bien en {{c1::datos no vistos}}.;Objetivo real del ML.
Un error bajo en entrenamiento no garantiza bajo error en {{c1::test}}.;Puede existir overfitting.
La regresión predice {{c1::valores numéricos continuos}}.;Ejemplo: salario.
La clasificación predice {{c1::categorías discretas}}.;Ejemplo: spam/no spam.
Usar el conjunto de test para ajustar hiperparámetros produce una evaluación {{c1::sesgada}}.;Se pierde honestidad evaluativa.
Cuando error_train << error_test, suele existir {{c1::alta varianza}}.;Indicador de overfitting.
Cuando error_train y error_test son altos, suele existir {{c1::alto sesgo (high bias)}}.;Indicador de underfitting.
k-fold reduce la {{c1::varianza}} de la estimación del rendimiento.;Promedia múltiples evaluaciones.
Entrenar y evaluar sobre los mismos datos impide medir {{c1::generalización real}}.;Solo mide memorización.
Un modelo que aprende ruido está capturando {{c1::patrones espurios}}.;No relaciones reales.
El objetivo final del machine learning es {{c1::generalizar}} a datos futuros.;No solo ajustar el pasado.
La clasificación binaria implica exactamente {{c1::dos clases}}.;Ejemplo: sí/no.
Un modelo con excelente rendimiento en train pero pobre en producción probablemente sufre {{c1::overfitting}}.;Problema común en sistemas reales.
Un modelo con 100% de accuracy en entrenamiento puede estar sufriendo {{c1::overfitting}}.;Rendimiento perfecto en train no implica generalización.
Seleccionar repetidamente el mejor modelo usando el conjunto de {{c1::test}} provoca {{c2::data leakage}}.;Se contamina la evaluación final.
Si el modelo funciona en validación pero falla en producción puede existir {{c1::data drift}}.;Cambio en la distribución de datos.
Alta varianza implica sensibilidad excesiva a {{c1::pequeñas variaciones}} en los datos.;Modelo inestable.
Alto bias implica que el modelo es demasiado {{c1::simple}}.;No captura patrones relevantes.
La validación cruzada reduce la {{c1::varianza de la estimación}} del rendimiento.;Pero no elimina overfitting.
Un dataset desbalanceado puede hacer que la métrica {{c1::accuracy}} sea engañosa.;Predicción trivial de clase mayoritaria.
Generalizar significa rendir bien en datos provenientes de la misma {{c1::distribución}}.;No en cualquier escenario arbitrario.
Un modelo con demasiados parámetros respecto al tamaño del dataset aumenta el riesgo de {{c1::overfitting}}.;Exceso de capacidad.
Si entrenamiento y test se mezclan, se pierde la medición real de {{c1::generalización}}.;Evaluación inválida.
El overfitting es una manifestación práctica de {{c1::alta varianza}}.;Concepto fundamental.
Elegir hiperparámetros usando el test rompe la separación entre {{c1::evaluación}} y {{c2::entrenamiento}}.;Principio clave.
La {{c1::precision}} mide la proporción de predicciones positivas que son realmente correctas.;Calidad de positivos.
El {{c1::recall}} mide la proporción de positivos reales detectados correctamente.;Cobertura de positivos.
El {{c1::F1-score}} es la media {{c2::armónica}} entre precision y recall.;Penaliza desequilibrios.
Si precision=1 y recall=0, el F1 es {{c1::0}}.;Colapso por media armónica.
La curva ROC representa {{c1::TPR}} frente a {{c2::FPR}}.;Evaluación a distintos umbrales.
Un AUC de {{c1::0.5}} indica rendimiento equivalente al azar.;Sin poder discriminativo.
Reducir el umbral de decisión aumenta {{c1::recall}} pero reduce {{c2::precision}}.;Trade-off clásico.
Accuracy puede ser engañosa en datasets {{c1::desbalanceados}}.;Clase mayoritaria domina.
En problemas desbalanceados, la curva {{c1::Precision-Recall}} suele ser más informativa que ROC.;Mejor análisis.
Optimizar solo recall puede aumentar {{c1::falsos positivos}}.;Coste operativo.
Optimizar solo precision puede aumentar {{c1::falsos negativos}}.;Riesgo crítico.
El True Positive Rate es equivalente a {{c1::recall}}.;Sinónimos.
El False Positive Rate mide proporción de {{c1::negativos mal clasificados}}.;Impacto en ROC.
F1 no considera {{c1::verdaderos negativos}}.;Limitación conceptual.
